epoch;acc;acc_1;acc_10;acc_11;acc_12;acc_2;acc_3;acc_4;acc_5;acc_6;acc_7;acc_8;acc_9;iou;iou_1;iou_10;iou_11;iou_2;iou_3;iou_4;iou_5;iou_6;iou_7;iou_8;iou_9;loss;mean_iou;val_acc;val_acc_1;val_acc_10;val_acc_11;val_acc_12;val_acc_2;val_acc_3;val_acc_4;val_acc_5;val_acc_6;val_acc_7;val_acc_8;val_acc_9;val_iou;val_iou_1;val_iou_10;val_iou_11;val_iou_2;val_iou_3;val_iou_4;val_iou_5;val_iou_6;val_iou_7;val_iou_8;val_iou_9;val_loss;val_mean_iou
0;0.9320560166093169;4.8885596606909405e-08;0.9470995854850379;0.8266602744723193;0.5675389018719811;0.9627029168422112;0.9246192058455707;0.8621518680661285;0.9836920905370218;0.9019180513080198;0.8020706686759314;0.8730252341449305;0.4643948483459824;4.8885598655947856e-08;0.9267614347035767;0.5165624556238534;0.3422605871665673;0.8577765435631809;0.4728057694728257;0.957337990158894;0.7685475794832564;0.6985650997140694;0.6270110326223686;0.358956114353378;0.8259689679237011;451958551.91256833;0.6684139608685437;0.8065078592300415;0.0;0.8373039137010849;0.9170112548641957;0.8227098438442338;0.7856595677463275;0.6763076270947919;0.6498700084477862;0.9826521038207322;0.9556639602515172;0.6770385245165716;0.6418993733100302;0.8417753861415013;0.0;0.7640560138225555;0.2232884792983532;0.7339296585321426;0.6584403121471405;0.21082067653536796;0.7994998490810394;0.7359022498130798;0.6321900308132171;0.3695059989392757;0.7163876342773438;0.6414732277393341;2975627141.12;0.5895903742313385
1;0.9278336317161393;2.3089146981276006e-06;0.9567662685767535;0.921338156569749;0.7584379977149193;0.9573792245005961;0.9363790018074282;0.8671277007158532;0.9805105842237106;0.9368086073741798;0.908879091170886;0.9103176634368357;0.6451578557516686;2.308914697438967e-06;0.9212444590740516;0.5728832560240246;0.4761742996713503;0.8805649417345641;0.47884685037240304;0.9569241564130523;0.8003793993934256;0.7868549520852136;0.6588018691279197;0.49359464061146224;0.8503973614322683;507047190.38251364;0.7160605625376675;0.915524709224701;0.0;0.8794623121109106;0.9061096775279107;0.9151654540077472;0.9685746596704554;0.8324096275260914;0.5085116837034278;0.9746998438948045;0.9745602551686354;0.9621989602407404;0.6265348576799671;0.9194471973067118;0.0;0.9358498990535736;0.4877265438437462;0.7884408354759216;0.8135538101196289;0.2636639216542244;0.9580643689632415;0.794087200164795;0.8784050905704498;0.4918633405864239;0.6989965319633484;0.6635734635591507;1242432936.96;0.7067477321624756
2;0.9307021182742926;2.0938404509826266e-06;0.9594362812524425;0.9140303308102612;0.7513829988969938;0.9605045485419844;0.9383746631190896;0.8742824922162075;0.9825832822117753;0.9433812949309778;0.911753498068358;0.904213566569468;0.6553914397269233;2.0937787453501482e-06;0.9245789640588187;0.5800857436461527;0.46780212113603215;0.8828993433160208;0.48259433770114607;0.9587688130107733;0.8154661878536308;0.7891742424846021;0.660409846103908;0.5036416619893958;0.8619719292622446;458014799.8251366;0.7206721074594175;0.9251198077201843;0.0;0.8786108513369154;0.8785820651456546;0.9190984926357266;0.9672530782217413;0.8579125141579084;0.4929608489173147;0.9779033119704118;0.9723065028691312;0.9736856774789122;0.6496585675481729;0.9270789053498469;0.0;0.9346228802204132;0.5411040192842483;0.8035980188846588;0.838867529630661;0.2801616525650024;0.9693679440021515;0.8428049254417419;0.8798961353302002;0.5150174725055695;0.6681608015298843;0.6637388199567795;1090040544.0;0.7215763831138611
3;0.9314350749625534;1.1491428928938638e-06;0.9591933388116348;0.9195239706717836;0.7068831349291693;0.96076978663042;0.9383978535340313;0.8749989981609925;0.9830937308038256;0.9320994477823114;0.9183994350263284;0.9112446559203524;0.6636006639086597;1.1491299661091413e-06;0.9246248339043289;0.596637793658861;0.4508971505152072;0.8852812292797317;0.48828215994795815;0.9593649988617402;0.8063843844692564;0.7934413728166799;0.66758940657957;0.5174314873954637;0.8589262398865705;443221505.6612022;0.7226237327348991;0.927132408618927;0.0;0.873403432428827;0.9034572952030874;0.9093367579102717;0.9667717340930444;0.8677541054146567;0.48725361918995125;0.9783498588197148;0.9743682694746605;0.9714420739746853;0.6547258464591821;0.932108947692629;0.0;0.9358179640769958;0.5070652168989181;0.7976862680912018;0.8455698931217194;0.2752061325311661;0.9702904570102692;0.8347799789905548;0.8947307729721069;0.5306599873304367;0.6737336337566375;0.7009328973293304;1081524418.56;0.7242248356342316
4;0.9328765830055612;5.602644961915183e-06;0.959092830666263;0.9232655718373852;0.7635817830858798;0.9614929546058373;0.9398608084619762;0.8805306411455649;0.9841974204210848;0.9393816369505888;0.9170601227152171;0.9199233600933878;0.6769474645576673;5.602644968910214e-06;0.9261329011187527;0.5887603194661479;0.4798741514076952;0.8878269876287284;0.49287562666694973;0.9597194891809766;0.8214310298526222;0.7964507134560027;0.6758282704105794;0.5172376197462525;0.8677438230462413;421116782.7759563;0.7285346323675145;0.9263437783718109;0.0;0.8700931738588263;0.903440383732956;0.8949215018978038;0.9650188136129332;0.8735254704713248;0.5138744355025289;0.9724415416258487;0.9752796269644192;0.9723246043436938;0.6486894959679348;0.9222091133958515;0.0;0.935278992652893;0.4908188688755035;0.7879778265953064;0.849939591884613;0.27925702691078186;0.9648326659202575;0.8335387527942657;0.8942441892623901;0.5255206668376923;0.6705802088975906;0.6963268876075744;1112031123.2;0.7207559740543366
5;0.9336060940242205;3.118543963461263e-06;0.9586907697530629;0.9463876443823813;0.7691379916014937;0.9612716998516295;0.9417719067569122;0.8827100103718559;0.9846270778488341;0.9490391739739277;0.9095892116722374;0.9223032431224948;0.6532440230656651;3.1185439785260485e-06;0.9257570241318375;0.607543078276629;0.5001290066808951;0.8876476867602823;0.49825615773761206;0.9605719160512497;0.8292338657574575;0.79544260055641;0.6755663097067609;0.5120763869884887;0.8661213022112195;409006979.89071035;0.7325768513106258;0.934343866109848;0.0;0.8692920825705868;0.8785992874164955;0.9109998865905712;0.9677437104208731;0.8971804730158827;0.45042800324512916;0.9778400850185665;0.9749940728728622;0.9746593939440537;0.6296150296743285;0.9107784716826992;0.0;0.9358147013187409;0.5402851292490959;0.8016686701774597;0.8719196474552154;0.28803090780973434;0.9703872931003571;0.8565944278240204;0.8938839101791382;0.5256738770008087;0.6992168116569519;0.7056490886211395;1050095758.08;0.7353749513626099
6;0.9339982570846224;6.089988211305372e-06;0.9606069166431587;0.9274256486058047;0.7607369335736679;0.9618730528935968;0.945739099781218;0.8843237982864449;0.9847511609580182;0.944979965712448;0.9234334133097802;0.9220498672829792;0.6745271490356758;6.0899881924352425e-06;0.9266451639555843;0.5895403361385637;0.49043069914227627;0.892245482877304;0.5023294244307638;0.9612314479598583;0.824258374060438;0.803869486180811;0.6820623978076736;0.5234467402263417;0.8680892474338656;402548223.12568307;0.7331044361239574;0.93163849234581;0.0;0.8715070114993095;0.8975006338816318;0.8927318163459194;0.9677495466013809;0.8832974860408617;0.49239455196797877;0.9793696666259128;0.9718245693653325;0.9716569634994328;0.6530226847260052;0.9337519916840327;0.0;0.9355184376239777;0.5099036687612534;0.7876973414421081;0.8612136995792389;0.28183786615729334;0.9715230274200439;0.847626268863678;0.9042791903018952;0.5312821552157402;0.6841893887519837;0.6962266421318054;1060813946.88;0.7282997941970826
7;0.934714108216958;8.605057163536567e-06;0.9603544296772998;0.918853263882525;0.7313903024325724;0.9621761083665471;0.9426204883764124;0.8895960638143393;0.9848113371658197;0.9455657690238201;0.9028693496794735;0.9167456927172434;0.6763166317012074;8.60505724879862e-06;0.9273472617232734;0.5964796536200033;0.4711604036309354;0.8908096746505936;0.5036388965008037;0.9613285419719467;0.8301651241675101;0.7919669163520219;0.6818454833955713;0.5350175636713622;0.8700856333547603;394476178.7103825;0.732713198075529;0.928136979341507;0.0;0.844501050268041;0.8939248253280576;0.9349495706169367;0.9657503953319435;0.8804167246022119;0.45471013995916854;0.972015134320716;0.97551458387399;0.9731724059295683;0.6433973561590841;0.9226951014702057;0.0;0.9359119212627411;0.5002025485038757;0.7998993229866028;0.8556957364082336;0.28014287769794466;0.9651959073543549;0.8400714385509491;0.8899018335342407;0.5220999574661255;0.6694929397106171;0.7104454576969147;1050981939.2;0.7244599914550781
8;0.9343416492144266;1.2618426025625441e-06;0.9621612936230343;0.9276870438916095;0.7537387325147228;0.9631289910569132;0.9467599496829485;0.8884079554077399;0.9847247164911983;0.9392251415268513;0.9134509149522395;0.9236964230299275;0.6975022073025476;1.2618425908775827e-06;0.9285516872432062;0.5992073837280925;0.48370452111210327;0.8947869382920812;0.5001360546044313;0.9598560733873336;0.8224659505111923;0.7993514759293019;0.6821313528903846;0.5347161391149453;0.8731064851818189;393399564.9836066;0.7343649160666544;0.9349719214439393;0.0;0.8519488899325447;0.8866962006688219;0.9141968843652607;0.9722522306148802;0.9015389272863175;0.45878075607414304;0.9735718946439973;0.9760979493755632;0.9701310233336712;0.6555788149663377;0.9329702597414297;0.0;0.9364250445365906;0.5139847058057785;0.798271244764328;0.8754605686664582;0.28748047262430193;0.9672553253173828;0.8493923139572144;0.9065587055683136;0.5332976922392845;0.7050431525707245;0.7087594306468964;1002704016.64;0.7347207880020141
9;0.9351866492808191;1.4753371900275274e-06;0.9616226413287228;0.9297878212032827;0.7375994504136659;0.9636940395108663;0.9484796375114166;0.8906821010143048;0.9850965691130562;0.9486013014511024;0.9065361903759936;0.9277258309521554;0.6800341803840567;1.4753371783751037e-06;0.928497400114445;0.6093464975800019;0.4911427741737965;0.8970945653368215;0.5019600898271701;0.9608968665691021;0.832883370907906;0.7951369562435672;0.6926432118389776;0.5256255489718067;0.8684772507089084;382466120.61202186;0.7367004113770573;0.9362232077121735;0.0;0.8516958835427996;0.8831426715603209;0.913542906582262;0.9661579313004078;0.9012377592595979;0.45669295407963206;0.9799063123791011;0.9734351196037353;0.9719946518638138;0.6729831515709941;0.9326479750666682;0.0;0.934187273979187;0.5188206252455712;0.799037024974823;0.8755467355251312;0.28939849555492403;0.9726686370372772;0.8569916749000549;0.9099161171913147;0.5495854377746582;0.6918012094497681;0.7032558357715607;993440142.08;0.7364735531806946
