epoch;acc;acc_1;acc_10;acc_11;acc_12;acc_2;acc_3;acc_4;acc_5;acc_6;acc_7;acc_8;acc_9;iou;iou_1;iou_10;iou_11;iou_2;iou_3;iou_4;iou_5;iou_6;iou_7;iou_8;iou_9;loss;mean_iou;val_acc;val_acc_1;val_acc_10;val_acc_11;val_acc_12;val_acc_2;val_acc_3;val_acc_4;val_acc_5;val_acc_6;val_acc_7;val_acc_8;val_acc_9;val_iou;val_iou_1;val_iou_10;val_iou_11;val_iou_2;val_iou_3;val_iou_4;val_iou_5;val_iou_6;val_iou_7;val_iou_8;val_iou_9;val_loss;val_mean_iou
0;0.9150982668491009;0.0;0.9144836340622657;0.7783210089996039;0.512773729709431;0.9548827444080766;0.8864639005215689;0.7701150633545848;0.9718112954525999;0.8671332861018112;0.7764142465317403;0.8115138923750823;0.4169983968531803;0.0;0.9166408995461595;0.43941256122458777;0.3008024195219324;0.8111652155798641;0.3816997311561485;0.9474691292627262;0.7041172359973356;0.6564712575102438;0.5203022907991879;0.30268616496478434;0.767945851621732;0.18891585280335016;0.6135193428706601;0.8797567987442017;0.0;0.7551852314261127;0.8958180324019287;0.928801755190054;0.9779275250457655;0.82239477655431;0.5806552110610116;0.9376776189321014;0.9747607874429631;0.7994055808499846;0.7086170552624353;0.9295337265006341;0.0;0.9285180234909057;0.5081224584579468;0.7458587527275086;0.7635379147529602;0.16194824539124966;0.931177636384964;0.7663596630096435;0.7676188135147095;0.3036675317585468;0.6431423842906951;0.6651580256223678;0.32229104548692705;0.6531917691230774
1;0.9127847542528247;0.0;0.9279142394870538;0.8769840034068885;0.6851678915640343;0.9513388080924641;0.9103491458579999;0.802335026037189;0.9734159094090868;0.8988477591140666;0.8804991716796561;0.8519046152371147;0.6049429957732605;0.0;0.9125007325834263;0.5071790812364041;0.3869190762688462;0.8455514425788421;0.3965217101036525;0.9495752040154296;0.7301805513234086;0.7441878917275883;0.5587279693391479;0.44605695719886673;0.8035943837113719;0.19495063987586017;0.6619086368162124;0.9196758949756623;0.0;0.7523658695004791;0.9014684584272963;0.9244023595907523;0.9762488417284406;0.8471739269165544;0.4182274116915049;0.9775383722365839;0.9749720161301322;0.9599224503236171;0.697979563787591;0.9531789446521712;0.0;0.9376852929592132;0.5304525059461593;0.7809249460697174;0.8279012155532837;0.18791938304901123;0.967748510837555;0.8469732642173767;0.8878801560401917;0.42709823936223984;0.633471224308014;0.645332419872284;0.25369697153568266;0.6975806534290314
2;0.9184233797052519;0.0;0.9387174457354759;0.8811711419048525;0.6779729564163488;0.9556384922820345;0.9160281912310685;0.8109324628288086;0.9769985646980691;0.9234371560674242;0.8883236499077926;0.8647274659926434;0.6190872624788277;0.0;0.9182333614005417;0.5216609216295183;0.42215637869171063;0.8570527278009008;0.40361180355965764;0.9548189057027056;0.7624041176721698;0.7569076155052811;0.5719409503164838;0.44834624075386775;0.819356527973394;0.17745685842030687;0.6760445044991749;0.9267709493637085;0.0;0.8231469090545499;0.9142538412012662;0.919295203447191;0.9728217455458469;0.8738262644959758;0.38814644979806756;0.9794063812946934;0.9716089120423034;0.9551220177229297;0.7148430277135317;0.9465368831419958;0.0;0.9368852090835571;0.5239141342043877;0.7808115804195404;0.8485362982749939;0.20767431497573852;0.9688015568256378;0.8501743590831756;0.8903121185302735;0.47216821610927584;0.6804965698719024;0.6891402816772461;0.2461632290482521;0.7135376906394959
3;0.9207060620432994;0.0;0.9386732776810377;0.8687774871826587;0.7031285256990479;0.9575181841523744;0.9184433993677679;0.8148587520879228;0.9787453857342662;0.9198700292109357;0.8857102809159437;0.8753076907933042;0.6192177160401843;0.0;0.9191473611717016;0.522946593478892;0.43630885189307517;0.8603043777695119;0.4168496772321196;0.9561917931655717;0.7648572951880961;0.7539506776899588;0.5874073265191636;0.4455781242901795;0.8220580816268921;0.16989277457930352;0.6805091057318807;0.9286881506443023;0.0;0.8132566629027862;0.9233682980323202;0.9170661430757642;0.9704836773897902;0.8806924894624026;0.41824771469480326;0.9792988016157959;0.9701310305228666;0.9593306746562265;0.7195043661413995;0.9358877598372226;0.0;0.9378742873668671;0.47900400817394256;0.7589888477325439;0.8561377036571503;0.23790865749120713;0.9683940029144287;0.8581761443614959;0.8968032073974609;0.5019859898090363;0.6825895237922669;0.6715357577800751;0.24279415100812912;0.7135816478729248
4;0.9219609189554642;0.0;0.943954851572476;0.8968906777487049;0.7265005094304485;0.9547560098412761;0.9258019804162794;0.8217101270441654;0.9790417488217928;0.9233004214786205;0.8915006074423555;0.8786808229138693;0.6519298894365487;0.0;0.9177497319185017;0.5399286732932583;0.44732065573640045;0.8673647350626565;0.4173456180453952;0.9566277633599245;0.7767775208572221;0.7622483489943332;0.5939026148429986;0.4921153446689981;0.8315899632667583;0.166080159323463;0.691179175683058;0.9265513455867768;0.0;0.7942492226513016;0.9069558516155777;0.9555292729475334;0.9699601951998011;0.8660034012435677;0.3616116853540884;0.978361593703778;0.9741859939359989;0.9667078788570602;0.6951690589582065;0.9379095570932473;0.0;0.937612600326538;0.5469550079107285;0.7774033534526825;0.8455011832714081;0.21097676277160646;0.9697324454784393;0.8616393208503723;0.8833796560764313;0.4551280120015144;0.6733057546615601;0.6521118712425232;0.24236345082521438;0.710340541601181
5;0.9232300151892698;0.0;0.9448142697220756;0.8916432087029499;0.7133085422497843;0.956348557552958;0.923256190408922;0.8283501119588741;0.9800557277246663;0.9321080667390718;0.8793717919953662;0.8752570223252657;0.6272906586568895;0.0;0.9183738290286455;0.5400055443328586;0.4562177335527914;0.8640174680068845;0.422327699943807;0.9588731735781894;0.7856445417133837;0.7538269184977631;0.5957851604522904;0.4626609669397763;0.8313809405259096;0.16242769983459693;0.689919452035362;0.9314545750617981;0.0;0.777219352322419;0.9056229686168678;0.945888992509089;0.9765705979786969;0.891996606057228;0.36980377024837874;0.9791336132535534;0.9733692872057975;0.9574154369950573;0.6896433246106478;0.9380628784785351;0.0;0.9371122944355011;0.5532410413026809;0.7845488321781159;0.8654946410655975;0.2039157557487488;0.9683581745624542;0.8616384565830231;0.8961963963508606;0.5178019589185715;0.6824185407161713;0.6670841777324676;0.23851652443408966;0.7216191148757934
6;0.9244548717483145;0.0;0.9492509087590364;0.9036027010431732;0.7113325768899662;0.9586416942804943;0.928335750209186;0.8339228333025104;0.9801943430913037;0.9327263575648536;0.897681132873592;0.8858639600884323;0.6269597741006417;0.0;0.9218340307636991;0.5474945415483147;0.44250068138226295;0.871852245812859;0.42954678898626336;0.9578420855308492;0.7892547684614776;0.7714234762748734;0.6123992000284091;0.4731440389620476;0.8374038776739048;0.15838917247096046;0.6958814334999668;0.9316361367702484;0.0;0.7702909391980535;0.9118935298435339;0.9310073671457808;0.9638780176019818;0.8948244868508108;0.4520731866521295;0.9792951157736199;0.9716604363169061;0.9631470742928461;0.664975600611572;0.9438184146124172;0.0;0.9360024785995483;0.5609868788719177;0.7988110554218292;0.8668387377262116;0.22381413027644156;0.9705182361602783;0.8575116932392121;0.9029158174991607;0.5187988382577896;0.6561837542057037;0.6645974606275559;0.24025685280561448;0.7233617353439331
7;0.9249488883982591;0.0;0.9494643448528051;0.8903266468249148;0.7280023387518758;0.9565084207189414;0.9306515297064943;0.8410955221704622;0.9806870279418345;0.9256175511900306;0.8972505113284436;0.8901501241103547;0.6442419844366146;0.0;0.9210853645058928;0.541052758194954;0.4612845517084247;0.8735850080440605;0.4368718149639218;0.9592119816873894;0.7820528366200911;0.7712141978936117;0.6177405661246815;0.47880361652602266;0.8387860476644964;0.15581189034903636;0.698335339299968;0.9335267090797424;0.0;0.7627199299683438;0.9212389006406787;0.9191825921893697;0.975103222758927;0.9001590832660534;0.38677454558056207;0.9820260141388998;0.970103413518523;0.9548914322214427;0.6691080581683567;0.9469935188870656;0.0;0.9387638950347901;0.5207118055224419;0.7769907999038697;0.8720887744426727;0.22492965504527093;0.9714395451545715;0.8681816494464875;0.9032007610797882;0.4967844694852829;0.6802041077613831;0.6588230186700821;0.24270934164524077;0.7192834985256195
8;0.926085555814003;0.0;0.9498247367614762;0.9053763345916404;0.7150389221047805;0.9584639327407818;0.9286105451498999;0.8430831393121971;0.9808601450565384;0.9346405936451393;0.9006670911880009;0.8980862696249069;0.6463168325756504;0.0;0.9229805951561433;0.5586358504013611;0.44842420400328975;0.8720100377101064;0.4369645845450339;0.9597911238670349;0.7913599133165807;0.7748000931218674;0.6237759161842326;0.4871789950246368;0.8350073561642339;0.15216294431784114;0.7009935147775327;0.9357146108150483;0.0;0.7982850671086246;0.9148825203132169;0.9290219470188578;0.9759761126448061;0.9062334134317106;0.39028320208768846;0.9781755269470505;0.9733581565193714;0.9645615764462654;0.6802309101496354;0.9272045611198417;0.0;0.9369251918792725;0.53154217928648;0.7856023168563843;0.878207311630249;0.22155816614627838;0.9695538794994354;0.8625893139839172;0.9066783177852631;0.5434457677602768;0.7088595449924469;0.6835669589042663;0.2384397256374359;0.7298662662506104
9;0.9267793248911373;0.0;0.9506668362635218;0.917858058987782;0.7382622526548358;0.9585114590792626;0.9314930586832334;0.8501659792844992;0.982120707579569;0.9366937112462269;0.8917072947703333;0.9027211865929081;0.6476136482492076;0.0;0.9226018353238132;0.5627287629319996;0.4747783175664521;0.8742081819336271;0.4437849278984174;0.9608351852073044;0.793425491313791;0.7698110555288448;0.6362098143563244;0.4848904276948646;0.8419796205609222;0.15029517748479634;0.7059321481673444;0.9357165789604187;0.0;0.7736851769744791;0.911180199443957;0.9337426306265825;0.9695315679659788;0.9038247607303602;0.43178923888335546;0.9778472103219787;0.9737481228419266;0.9650985163191109;0.7158351858456268;0.943853958742829;0.0;0.9377699506282806;0.5158907881379128;0.7754195332527161;0.8793252038955689;0.23492244452238084;0.9699742805957794;0.8665984237194061;0.9089990389347077;0.5403669023513794;0.6972757875919342;0.6791642957925796;0.2264964261651039;0.7277915155887604
